id	output	model_output	instruction
5059	1	 3	請根據以下輸入回答選擇題，並以數字回答:;說明:悟空說：“當年老孫鬧天宮時，天上神將都不是我的對手，最後請來二郎小聖才勝我一籌。那妖精和我一般手段，天將如何能降?”許陽旌天師說：“常言說：‘一物降一物。’也許就有天將偏能降他。”悟空說：“只好領玉帝的人情，就請派托塔李天王與哪吒三太子，助我下界降妖。”李天王父子率本部天兵，點了鄧化、張蕃二雷公助陣，隨悟空來到金山，在南山坡紮下營來。李天王派哪吒前去降妖，悟空在前面引路，來到洞前罵陣。;問題:請問哪位天將可以勝過悟空?1:二郎神,2:許陽旌天師,3:哪吒三太子,4:托塔李天王
7535	2	 老殘當年從平陰縣出發去桃花山。	請根據以下輸入回答選擇題，並以數字回答:;說明:到了晚飯之後，申東造又將老殘請到上房裡，將那如何往桃花山訪劉仁甫的話，對著子平詳細問了一遍。子平又問：「從那裡去最近？」老殘道：「從此地去怎樣走法，我卻不知道。昔年是從省城順黃河到平陰縣，出平陰縣向西南三十里地，就到了山腳下了。;問題:老殘當年從哪裡出發去桃花山？1:平陰縣,2:省城,3:桃花山下,4:濟南
12412	1	 2:25度	請根據以下輸入回答選擇題，並以數字回答:;說明:這幾天在西太平洋上已經有3個颱風生成，中央氣象局表示，在菲律賓附近的2個熱帶擾動，也不排除在這幾天形成今年第9、第10號颱風。 記者 江政融報導  中央氣象局表示，目前在西北太平洋上的三個颱風，包括第5號颱風「諾盧」、第6號颱風「庫拉」、以及8號颱風「桑卡」。「諾盧」目前距離台灣還有3000多公里，並往日本南方海面移動；「庫拉」和「桑卡」則是會在今天逐漸減弱。至於在菲律賓附近熱帶擾動的發展，氣象局還要持續觀察，簡任技正伍婉華說~TAPE  在各地溫度部分，氣象局表示，今天全台依舊炎熱，各地高溫大約在34到36度之間，大台北高溫可能來到37度，提醒民眾出門前做好防曬，並多補充水分。;問題:依據本文文章，台灣當時氣溫可能為何？1:35度,2:25度,3:20度,4:15度
5593	1	 士毅	請根據以下輸入回答選擇題，並以數字回答:;說明:士毅聽了這話，就拱拱手道：「老伯母，你何必那樣客氣呢？」餘氏聽到他叫了一聲老伯母，這是生平所不輕易聽到的一種聲音，不由得心裡一陣歡喜，露著牙笑了起來，才開口道：「我們丫頭回來說，你老給她錢，這實在多謝得很，我們窮得簡直沒法兒說出那種樣子來，得你這些好處，我們怎樣報答你呢？」士毅雖是不大願意她那副樣子，然而已經有了小南介紹在先，當然不便在她當面輕慢了她的母親，只好拱拱手道：「你說窮，我也不是有錢的人，幫一點小忙，那很算不了一回什麼事，你何必掛齒？」;問題:誰叫餘氏聽到他叫了一聲老伯母?1:士毅,2:士恩,3:士昇,4:士靚
12472	2	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:詐欺車手謊稱來高雄找朋友，不過被警方識破其實是來取款，嚇得直發抖，坦承已在台中得手兩件，本想做到這個月底，沒想到提前栽在高雄市警察手中。記者 徐郡秀 報導   看到警察出現，詐欺車手嚇得說話結巴—— 梁姓嫌犯說來高雄找朋友，盤查過程不斷發抖—— 原來一名龔姓婦人接獲詐騙電話，說她兒子跟某集團有毒品買賣糾紛，要結清一百五十萬的欠款，不然兒子就得運毒還債。婦人急得前往菜公郵局領錢。不過她的丈夫機警報案，警方趕往安撫提款婦人，並寫紙條跟婦人溝通，請她配合警方逮詐騙車手，坐在公園等候的梁姓車手察覺警方埋伏，立即搭計程車逃跑，不過仍然在高雄車站遭尾隨員警逮捕，18歲梁姓嫌犯坦承，在台中市區成功詐騙兩件，得手一百萬元，可獲取1%的傭金，本想做到這個月底就不做了，沒想到提前被高雄市警方查獲，後悔莫及。;問題:18歲梁姓嫌犯坦承，在台中市區成功詐騙幾件？1:1,2:2,3:3,4:4
11606	1	 台北市動物保護處接獲家禽批發市場通報疑似案例,凌晨到達現場時,發現眼周圍腫脹,腹部.雙腳腳脛,翅膀末端皮膚潮紅,並有內臟多��	請根據以下輸入回答選擇題，並以數字回答:;說明:(台北)台北市政府動保處,6號深夜.到.7號凌晨,連續接獲家禽批發市場通報疑似案例;隨即層轉通報行政院動植物防檢局,即刻送檢.凍存,屠宰線停止屠宰24小時;並完成場區擴大消毒作業! 記者 靳傑   報導 台北市動保處表示:6號深夜和7號凌晨,北市家禽批發市場共通報5批家禽屠宰檢查異常案例,分別來自高雄市彌陀區,苗栗縣通霄鎮,屏東縣竹田鄉,和.雲林縣元長鄉的紅羽土雞,屠宰時發現發現紅羽公雞出現眼周圍腫脹,腹部.雙腳腳脛,翅膀末端皮膚潮紅,並有內臟多發出血灶,白色糜爛,及.壞死區等疑似禽流感症狀;屠檢獸醫師於屠後檢查發現,立即刻通報防檢局基隆分局和台北市動保處!北市動保處組長胡金灝說~VOICE台北市動保處防疫人員表示:相關採樣除了送檢,現場並扣留304隻雞屠宰凍存,通知各縣市動物防疫單位回溯來源場.進行後續追蹤調查;並加強北市家禽批發市場清潔消毒,及.休市後進行全場停止屠宰淨空24小時等.生物安全強化措施! 而未來.檢驗結果出爐後,也將和中央同步發布新聞!北市動保處呼籲:夏天腳步接近,禽流感病毒傳播趨緩,不過零星案例仍難避免,因此民眾除了對家禽,應做好完全煮熟食用外,購買時也要認明合格電宰標章,以杜絕私宰,才能吃的安心;此外.也要避免餵飼野鳥,避免接觸禽鳥;同時做好個人衛生,如此才能有效防範禽流感疫情!;問題:台北市動保處防疫人員表示:相關採樣除了送檢,現場並扣留幾隻雞屠宰凍存？1:304,2:305,3:306,4:307
11025	4	 1:內部建物不通風,2:環境不衛生,3:共用衣服,4:多人同寢	請根據以下輸入回答選擇題，並以數字回答:;說明:陸軍湖口五八四旅傳出流行性腦脊髓膜炎疫情，造成一名士兵死亡，目前軍方嚴防營區內群聚感染擴散，應疾管署要求自主健康管理，所屬營全員在室內都要戴口罩，防止傳染。 （記者 徐海倫 報導） 根據了解，一名休假中的張姓士兵因高燒就醫，後來因流行性腦脊髓膜炎死亡，五八四旅接獲通知，緊急集合全連官士兵，包括休假者；疾管署也進營區了解，要求全員進行投藥處理。陸軍第六軍團政戰主任謝明德說： 新竹縣衛生局指出，營區內部的通風、衛生等環境初步判斷沒有問題，由於內部建築屬多人同寢，推測可能在室內集體感染。陸軍第六軍團政戰主任謝明德表示，目前確認張姓士兵死亡，另外七人因不適前往三軍總醫院就醫，其中五人排除感染流行性腦脊髓膜炎，已經出院。(警廣記者徐海倫新竹報導);問題:請問軍中為何容易集體感染？1:內部建物不通風,2:環境不衛生,3:共用衣服,4:多人同寢
1221	1	 2	請根據以下輸入回答選擇題，並以數字回答:;說明:川普決定退出伊朗協議並重新實施制裁，許多人擔心，市場緊繃之際，此舉可能會影響全球石油供應，原油價格也會隨之上揚。國際能源署（IEA）週三表示，需求強勁，加上其他OPEC國家裁減產量，過去3年一直在壓抑價格的因素終於消除。據報導，OPEC最大會員國沙烏地阿拉伯認定，油價必須到達每桶80美元的水準，它才能滿足沉重的國內支出負擔。沙烏地阿拉伯的目標就是提高石油價格，為其經濟改革提供資金。然而，負責為石油消費國提供建言的IEA亦警告，油價已經高到足以影響消費，也調降了需求成長預測。供給成疑慮寶盛集團（Julius Baer Group）的總體經濟及物料研究主管魯克（Norbert Ruecker）表示，「美國退出伊朗核武協議後，供給成為首要疑慮；地理政治噪音和情勢升高的恐懼將揮之不去。」倫敦洲際歐洲期貨交易所（ICE Futures Europe）的7月布蘭特輕油，升幅最高達0.9美元，達每桶80.18美元，為2014年11月以來的最高點。當月交貨的布蘭特輕油，價格較西德中級原油（WTI）高7.68美元。紐約商品交易所的6月WTI，價格為每桶72.06美元，上漲0.57美元。總交易量比100日平均高出41%。上海國際能源交易中心的9月期貨上漲1.9%，升至每桶481.9人民幣，為連續第三日上漲。夏季駕車季即將到來，美國政府週三公佈的數據顯示，美國原油存貨連續第二週下滑。美國能源情報署表示，存貨下滑140萬桶，國內產量則升至每日1,070萬桶；汽油存貨上週亦減少379萬桶。;問題:倫敦洲際歐洲期貨交易所的7月布蘭特輕油的最高美元價格為多少?1:超過80美元,2:介於75到80美元之間,3:介於70到75美元之間,4:低於70美元
297	1	 最大贏家是《刺客聶隱娘》。	請根據以下輸入回答選擇題，並以數字回答:;說明:今年共有11項入圍的電影《刺客聶隱娘》，最後囊括了最佳劇情片、最佳導演、最佳攝影、最佳音效以及最佳造型設計等五項大獎，可說是今年金馬獎的最大贏家;問題:哪部電影是最大贏家1:刺客聶隱娘,2:空城計,3:臥虎藏龍,4:冠軍大叔
12750	3	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:台北市政府水利處表示:暑期學童單車營.教學課程完全免費,並提供小朋友單車,兒童安全帽,護具,以及.保險;今年暑假7&8月間,總共開辦8個梯次;上課地點.在觀山河濱公園的觀山自行車租借站,自7月1號起受理網路報名,且.家長必須陪同受訓!北市水利處.游百崧科長,針對招生年齡限制,和.每梯次的上課時間說明~VOICE台北市工務局水利處表示:這項免費暑期學童單車營,每梯次只利用下午半天的時間,由單車技術教練指導,讓小朋友在玩樂中學習騎車所需的平衡感,和.安全要領;由以往的經驗,大多數小朋友,都可以在一個下午,學會騎單車;相關詳情,可參看:承辦單位:北市河濱自行車營運業者~康美企業社的網站,或電洽:2258-7425詢問!;問題:暑期學童單車營共開幾個梯次？1:6次,2:7次,3:8次,4:9次
